Team_Name,Team_Index,Entity_Code,Entity_index,theta,alpha_s,beta,S_prime
Baseline,0,R,1,0.36,0.26,0.34,17
Baseline,0,w,2,0.36,0.26,0.34,17
Baseline,0,D,3,0.36,0.26,0.34,17
Baseline,0,F,4,0.36,0.26,0.34,17
Bassbeer,1,R,1,0.9,0.1,0.65,20
Bassbeer,1,w,2,0,0.25,0.5,27
Bassbeer,1,D,3,0.15,0.05,0.35,14
Bassbeer,1,F,4,1,0.65,0.4,15
Budweiser,2,R,1,0,0.4,0.1,7
Budweiser,2,w,2,0,0.4,0.75,30
Budweiser,2,D,3,0,0.3,0.1,10
Budweiser,2,F,4,0.25,0.25,0.1,9
Coors,3,R,1,0,0.2,0,25
Coors,3,w,2,0,0.15,0.5,38
Coors,3,D,3,0.9,0.3,0.2,10
Coors,3,F,4,0.25,0.3,0,18
Free beer,4,R,1,0.4,0.35,0.45,15
Free beer,4,w,2,0.3,0.05,0,30
Free beer,4,D,3,0.05,0.35,1,18
Free beer,4,F,4,0.25,0.25,0,19
Grin  & Beer It,5,R,1,0.1,0.35,0.65,13
Grin  & Beer It,5,w,2,0.95,0.15,0.55,14
Grin  & Beer It,5,D,3,0.2,0.2,0.3,19
Grin  & Beer It,5,F,4,0.25,0.35,0.55,24
Grizzly,6,R,1,0.05,0.3,0.65,31
Grizzly,6,w,2,0.3,0.2,0.35,27
Grizzly,6,D,3,0.15,0.05,0.25,15
Grizzly,6,F,4,0.55,0.65,0,9
Heinekenl,7,R,1,0.95,0.15,0,9
Heinekenl,7,w,2,0.5,0,,
Heinekenl,7,D,3,0.2,0.3,0.05,8
Heinekenl,7,F,4,0.8,0,,
Heineken2,8,R,1,0.5,0.05,0.6,6
Heineken2,8,w,2,0.4,0.1,0.3,16
Heineken2,8,D,3,1,0.15,0.8,14
Heineken2,8,F,4,0.55,0.8,0,9
Heineken3,9,R,1,0.05,0.3,0.45,5
Heineken3,9,w,2,0.2,0,,
Heineken3,9,D,3,0.3,0.1,0.9,12
Heineken3,9,F,4,0,0.3,0.15,17
Suds,10,R,1,1,0,,
Suds,10,w,2,0.05,0.3,0.2,20
Suds,10,D,3,0.15,0.6,0.35,0
Suds,10,F,4,0.4,0.35,1.05,32
Twoborg,11,R,1,0.75,0.35,0,4
Twoborg,11,w,2,0,0.25,0.05,18
Twoborg,11,D,3,0.05,0.5,0,15
Twoborg,11,F,4,0.95,0.3,0.2,26
Sloan Ale 2022-06-06,12,R,1,1,1,1,19
Sloan Ale 2022-06-06,12,w,2,0,0.91,0.83,25
Sloan Ale 2022-06-06,12,D,3,0.31,0.14,1,9
Sloan Ale 2022-06-06,12,F,4,0.12,0.14,0.00E+00,17
Jumbo MITPA 2022-06-06,13,R,1,0.65,0.73,1,25
Jumbo MITPA 2022-06-06,13,w,2,0.37,1,0,0
Jumbo MITPA 2022-06-06,13,D,3,0.08,0.22,0,0
Jumbo MITPA 2022-06-06,13,F,4,0.98,0,0.75,8
Canbridge BOSbeer 2022-06-06,14,R,1,0.03,0.93,0.91,3
Canbridge BOSbeer 2022-06-06,14,w,2,0.48,0.08,0.05,38
Canbridge BOSbeer 2022-06-06,14,D,3,0.14,0.04,0.14,25
Canbridge BOSbeer 2022-06-06,14,F,4,0.42,0.54,0,23
Tim the BEERver 2021-08-27,15,R,1,1,0,0.49,8
Tim the BEERver 2021-08-27,15,w,2,1,0.93,0.03,20
Tim the BEERver 2021-08-27,15,D,3,0.13,0.11,0,9
Tim the BEERver 2021-08-27,15,F,4,0.05,0.11,0,15
Sloan-uel Adams 2021-08-27,16,R,1,0.02,0.25,0.78,15
Sloan-uel Adams 2021-08-27,16,w,2,0.13,0.09,0.81,23
Sloan-uel Adams 2021-08-27,16,D,3,0.1,0.9,0,11
Sloan-uel Adams 2021-08-27,16,F,4,0.14,0.17,0,17
Sloan-a Artois 2021-08-27,17,R,1,1,0.14,0.2,13
Sloan-a Artois 2021-08-27,17,w,2,1,0.06,0,26
Sloan-a Artois 2021-08-27,17,D,3,0.17,0.05,0.52,15
Sloan-a Artois 2021-08-27,17,F,4,0.45,0.86,0.09,19
Sloan Sapporos 2021-08-27,18,R,1,0.1,0.79,1,21
Sloan Sapporos 2021-08-27,18,w,2,0.03,0.34,0,18
Sloan Sapporos 2021-08-27,18,D,3,0.1,0.2,1,7
Sloan Sapporos 2021-08-27,18,F,4,0.17,0.93,0,8
Sloan Mountain Brewi 2021-08-27,19,R,1,1,0.21,0.08,20
Sloan Mountain Brewi 2021-08-27,19,w,2,0,0.23,0.43,26
Sloan Mountain Brewi 2021-08-27,19,D,3,0.97,0.18,0.44,13
Sloan Mountain Brewi 2021-08-27,19,F,4,0.29,1,0.04,22
quilmes 2021-08-27,20,R,1,0,0.93,0.54,13
quilmes 2021-08-27,20,w,2,1,0.62,0,22
quilmes 2021-08-27,20,D,3,1,0,0.53,11
quilmes 2021-08-27,20,F,4,0.27,0.39,0.29,17
MBAle 2021-08-27,21,R,1,1,0.4,0,8
MBAle 2021-08-27,21,w,2,0.64,0.14,0.5,32
MBAle 2021-08-27,21,D,3,0.05,0.1,0.08,36
MBAle 2021-08-27,21,F,4,0.53,0.59,0,8
Mana Brewing Co 2021-08-27,22,R,1,0.6,1,0.41,13
Mana Brewing Co 2021-08-27,22,w,2,1,0.19,0,33
Mana Brewing Co 2021-08-27,22,D,3,0.14,0,0.14,18
Mana Brewing Co 2021-08-27,22,F,4,0,0.98,0.15,24
JK 2021-08-27,23,R,1,0,0.26,0.73,11
JK 2021-08-27,23,w,2,0.02,0.63,0.46,18
JK 2021-08-27,23,D,3,0.16,0.25,0.05,10
JK 2021-08-27,23,F,4,0.35,0.35,0.39,14
J All Day IPA 2021-08-27,24,R,1,0.26,1,0,16
J All Day IPA 2021-08-27,24,w,2,0,0.23,0,66
J All Day IPA 2021-08-27,24,D,3,0.93,0,0.38,12
J All Day IPA 2021-08-27,24,F,4,0,0.9,0.36,3
Hip Hops 2021-08-27,25,R,1,0.03,0.32,1,13
Hip Hops 2021-08-27,25,w,2,0,0.45,1,22
Hip Hops 2021-08-27,25,D,3,0.52,0.14,0,12
Hip Hops 2021-08-27,25,F,4,0.07,0.41,0,18
G&H Brewing 2021-08-27,26,R,1,0.63,0.22,0.34,11
G&H Brewing 2021-08-27,26,w,2,0.05,0.67,0,17
G&H Brewing 2021-08-27,26,D,3,0.01,1,1,9
G&H Brewing 2021-08-27,26,F,4,1,1,1,6
Funky Bison 2021-08-27,27,R,1,1,0.09,0,57
